,Straat,Woonplaats,Aantal woningen,Gem. bouwjaar,Gem. woonoppervlakte (m²),Bioscoop (m),Treinstation (m),Busstation (m),School (m),Kinderopvang (m),Supermarkt (m),Besteedbaar inkomen
113,Wegastraat,Tilburg,8,2002,3883,2537,2685,1020,1003,921,1331,-
114,Weimanspad,Tilburg,31,1968,71,2494,870,297,128,128,292,"€ 17,204"
115,Wemeldingestraat,Tilburg,22,2016,188,6149,711,324,842,95,442,-
116,Westermarkt,Tilburg,70,1980,233,2620,543,95,275,156,54,-
117,Westerpark,Tilburg,169,1971,84,2717,705,220,294,125,227,"€ 17,439"
118,Westertorenlaan,Tilburg,34,1962,122,3381,241,224,589,93,240,"€ 17,204"
119,Westlandstraat,Tilburg,16,1949,87,1541,2053,165,972,180,340,"€ 19,194"
120,Westpoint,Tilburg,210,2002,167,1474,1140,90,223,223,1040,"€ 31,938"
121,Weteringlaan,Tilburg,123,1981,169,2809,2427,129,635,197,730,"€ 33,656"
122,WethouderAckermansstraat,Tilburg,16,1950,94,1150,1664,56,50,82,347,"€ 17,204"
123,WethouderEijkemansstraat,Tilburg,16,1950,82,1029,1542,81,79,125,412,"€ 17,204"
124,WethouderGoyaertsstraat,Tilburg,16,1950,90,1304,1816,137,199,183,374,"€ 17,204"
125,WethouderKerstensstraat,Tilburg,16,1950,94,1253,1765,91,148,138,358,"€ 17,204"
126,Wethouderslaan,Tilburg,105,2007,124,1252,1759,139,123,123,432,"€ 19,194"
127,WethoudervanIerlantstraat,Tilburg,8,1993,891,1286,1807,157,267,323,153,-
128,WethoudervanRoesselstraat,Tilburg,16,1950,105,1201,1714,54,97,101,349,"€ 17,204"
129,Weverstraat,Tilburg,53,1940,129,2049,1736,180,391,129,440,"€ 21,937"
130,Wichmansstraat,Tilburg,52,1975,87,1808,1595,100,417,91,334,"€ 24,967"
131,Wielevenweg,Tilburg,14,1983,203,6007,3567,584,2156,1073,2060,-
132,Wielingen,Tilburg,39,1992,177,2683,1459,231,740,187,909,"€ 32,916"
133,Wiertsstraat,Tilburg,21,1971,108,3155,3052,231,373,79,287,"€ 28,141"
134,Wijboschstraat,Tilburg,97,2003,137,6396,438,279,395,81,623,"€ 33,475"
135,Wijkevoort,Tilburg,4,1920,395,8266,2978,1330,1734,948,1613,-
136,Wijngaard,Tilburg,30,1984,75,1876,1559,161,390,261,401,"€ 17,204"
137,Wijnruitweg,Tilburg,79,1966,78,4274,1865,197,278,62,417,"€ 20,003"
138,Wildstraat,Tilburg,26,1963,117,2859,917,381,272,76,355,-
139,Wilgenstraat,Tilburg,57,1945,93,840,746,214,187,81,418,"€ 28,141"
140,Wilhelminapark,Tilburg,177,1930,251,1104,793,121,462,104,193,"€ 18,739"
141,WillemBarendszstraat,Tilburg,15,1939,126,1027,1477,312,226,22,230,"€ 21,937"
142,WillemBeukelsstraat,Tilburg,16,2006,111,1040,1502,309,346,58,360,"€ 17,204"
143,WillemdeRijkestraat,Tilburg,20,1965,67,1820,1505,74,161,76,536,"€ 17,204"
144,WillemElsschothof,Tilburg,4,1968,235,4974,1736,280,194,169,591,-
145,WillemII-passage,Tilburg,2,2019,122,242,209,69,476,251,313,"€ 15,605"
146,WillemII-straat,Tilburg,135,1923,181,95,358,186,641,201,225,"€ 16,205"
147,WillemKnuttelstraat,Tilburg,47,1952,85,1676,1561,389,353,317,718,"€ 20,838"
148,WillemMolengraaffstraat,Tilburg,5,1962,143,2538,481,125,326,170,127,-
149,WillemPasstoorsstraat,Tilburg,43,1999,111,930,704,173,227,99,128,"€ 21,937"
150,WillemPijperstraat,Tilburg,37,1977,82,2830,2719,90,142,120,350,"€ 28,141"
151,Willemsplein,Tilburg,2,1909,796,394,671,67,827,325,298,-
152,WillydenOudenstraat,Tilburg,116,2019,139,373,2547,365,873,198,476,-
153,Wilniserf,Tilburg,50,2010,127,6276,569,282,526,153,593,"€ 23,816"
154,WimBerkelmansstraat,Tilburg,28,1951,85,1278,2136,207,323,247,354,"€ 17,204"
155,Wingerdhoek,Tilburg,25,1976,108,312,455,445,402,166,280,"€ 17,204"
156,WinklerPrinsstraat,Tilburg,82,1974,114,857,1756,68,406,126,236,"€ 20,857"
157,WitbrantlaanOost,Tilburg,18,2010,345,5585,1243,165,1436,150,213,"€ 37,452"
158,WitbrantlaanWest,Tilburg,60,2003,171,6315,551,194,462,103,716,"€ 35,599"
159,Wittebolleplein,Tilburg,9,1984,93,1917,1630,221,567,223,355,-
160,Wittebollestraat,Tilburg,78,1929,60,1930,1648,228,631,138,299,"€ 19,194"
161,Wittemstraat,Tilburg,106,2003,112,6271,557,151,499,99,732,"€ 25,425"
162,Woerdenstraat,Tilburg,2,2007,1379,6738,191,168,26,26,848,-
163,Wolmaransstraat,Tilburg,60,1962,20,871,1605,220,286,135,676,"€ 19,194"
164,Wolplein,Tilburg,18,1960,91,2105,1791,202,446,68,355,"€ 19,194"
165,Wolterbeekstraat,Tilburg,2,1992,5151,4504,2835,825,1651,1279,1635,-
166,Wolvegastraat,Tilburg,102,2004,111,6093,735,164,681,64,374,"€ 25,723"
167,Wolvenweg,Tilburg,27,1965,53,2487,823,289,158,149,251,-
168,Zaamslagstraat,Tilburg,9,2015,127,7291,775,643,196,74,1265,-
169,Zagwijnstraat,Tilburg,19,1972,146,3147,3013,167,298,93,105,"€ 28,141"
170,Zalmstraat,Tilburg,16,1961,100,1576,2517,198,281,49,167,"€ 21,937"
171,Zaltbommelstraat,Tilburg,37,2016,132,7922,674,398,224,104,999,-
172,Zanderijpad,Tilburg,17,1959,18,2895,671,210,203,162,347,-
173,Zandrivierstraat,Tilburg,28,1952,89,836,1853,388,588,146,453,"€ 18,128"
174,Zappastraat,Tilburg,15,2017,121,2312,2123,395,297,426,858,-
175,Zeddamerf,Tilburg,42,2015,143,7342,687,458,171,81,1091,-
176,Zeelststraat,Tilburg,26,2016,155,7411,876,577,115,84,1234,-
177,Zeewoldestraat,Tilburg,22,2015,154,7281,739,485,197,125,1238,-
178,Zegveldstraat,Tilburg,18,2017,115,6877,692,298,550,494,1583,-
179,Zelhemstraat,Tilburg,13,2016,134,7352,832,629,154,48,1257,-
180,Zellerstraat,Tilburg,48,1971,89,3322,3098,138,407,44,514,"€ 17,204"
181,Zenderenstraat,Tilburg,54,2020,172,6986,546,147,425,311,1380,-
182,Zernikestraat,Tilburg,122,1987,73,1303,1224,92,329,223,384,"€ 18,493"
183,Zeusstraat,Tilburg,5,1996,3725,5860,3426,298,1892,1263,1861,-
184,Zevenaarstraat,Tilburg,54,2020,164,7062,420,160,407,221,1200,-
185,Zevenbergenstraat,Tilburg,55,2020,152,7095,374,235,358,237,1114,-
186,Zevenheuvelenweg,Tilburg,28,1988,5557,3751,2344,577,1243,930,1325,-
187,Zierikzeestraat,Tilburg,53,2016,160,9377,728,332,188,68,943,-
188,Zieversbeek,Tilburg,17,1982,128,2358,2388,177,261,210,263,"€ 31,938"
189,Zijpe,Tilburg,1,1989,193,2439,1566,159,582,164,728,-
190,Zilverlindestraat,Tilburg,11,1959,140,973,896,135,280,40,630,"€ 19,194"
